id,ip,name,devicetype_id,location_id
3841,10.157.0.11,Oukloof->DMR Oukloof M2 (10.157.0.11) - snowisp-oukloof-walter-dmr-bb,2,85
3842,10.41.0.180,Snowisp-dist-Pokkraal-RSV-Sec2 (10.41.0.180) 3.5,2,92
3843,10.41.0.179,Snowisp-dist-Pokkraal-WCR-Sec1 (10.41.0.179) 3.5,2,92
3844,10.41.0.182,BRE0006-2 PtP M2 (10.41.0.182),2,92
3845,10.36.0.218,Ribbokkop->Ribtiel Ignite (10.36.0.218) - snowisp-rib-tiel,25,94
3846,10.36.0.219,Ribtiel->Ribbokkop Ignite (10.36.0.219) - snowisp-rib-tiel,25,95
3847,192.168.0.50,Ribtiel->Blackheath 17 GHz (0.50),25,95
3848,10.75.0.138,Simonsberg->Hanskop Starlink (10.75.0.138),25,101
3849,10.36.50.218,Snowball->NGDC Ignite (10.36.50.218) - snowisp-kwv-snowball,25,103
3850,192.168.3.3,3.3 - InternalOmni - nic_0717_b L2TP,25,117
3851,10.42.50.42,Vensterbank->Ashton AirFibre (10.42.50.42) - Snowisp-BB-Venster-Ashton,14,120
3852,10.71.200.18,Wiesenhof->Zandwyk Siklu 80GHz (10.71.200.18),25,128
3853,10.41.0.43,snowisp-wies-stel-3.5 (10.41.0.43),2,128
3854,10.41.0.42,snowisp-wies-3.5 (10.41.0.42),2,128
3855,10.71.200.18,Zandwyk->Wiesenhof Siklu 80GHz (10.71.200.18),25,133
3856,10.71.0.179,Smartie->Du Toitskloof AirFibre2X (10.71.0.179) - snowisp-dutoits-smartie-2x,14,142
3857,10.75.0.18,Warehouse->La Farge 2X (10.75.0.18) - snowisp-farge-wh-bb,14,1010
3858,10.36.200.50,Paarl POP->Picardie 2X (10.36.200.50) - snowisp,14,1018
3859,192.168.119.11,MonkeyTown 2.4 Sec UBNT (119.11) - snowisp-monkeytown-2.4,2,1029
3860,10.36.50.106,Old College->Dorp Straat Ignite (10.36.50.106) - snowisp-college-isizwe,25,1036
3861,192.168.80.106,Old College->Andringa Other (80.106) - WOZ_AWK_B,25,1036
3862,10.157.0.12,Oukloof DMR->Oukloof M2 (10.157.0.12) - snowisp-oukloof-walter-dmr-bb,2,1037
3863,10.36.200.51,Picardie->Paarl POP 2X (10.36.200.51) - snowisp,14,1039
3864,10.71.0.114,St Tropez->Goudahof Ignite (10.71.0.114) - snowisp-st-gouda,25,1045
3865,10.75.0.99,Simonsberg->Bottelary2 DragonWave (10.75.0.99),25,101
3866,10.75.3.7,snowisp-lafarge-tygervalley1 (10.75.3.7) Prism,22,61
3867,10.71.0.34,Percy Holmes->Glencairn Prism (10.71.0.34) - snowisp-bb-percy-glencairn,22,89
3868,10.36.0.147,Percy Holmes->Muizenberg Prism (10.36.0.147) - snowisp-muiz-bb-percy,22,89
3869,192.168.87.56,Kirk Marketing ODU Prism (87.56),22,94
3870,192.168.87.10,Kirk Marketing PtP Prism (87.10) - snowisp-rib-kirk-ptp,22,94
3871,192.168.87.5,Ribbokkop dist Blackheath UBNT (87.5) - snowisp-blackheath,22,94
3872,10.36.15.17,2Oceans Complex PtP Prism (10.36.15.17) - snowisp-ribtiel-2oceans-ap,22,95
3873,10.70.0.227,Ribtiel->Robobot Prism (10.70.0.227) - snowisp-robobot-ribtiel,22,95
3874,10.36.15.18,Groenvlei PtP UBNT (10.36.15.18) - snowisp-ribtiel-Brackenfell-NM5,22,95
3875,10.36.15.27,Liebenberg Logistics PtP Prism (10.36.15.27) - snowisp-ribtiel-lieben-ptp,22,95
3876,10.36.15.4,Ribtiel Zeven Onder AC (10.36.15.4) - snowisp-ribtiel-zeven-onder,22,95
3877,192.168.43.5,Simonsberg Stb dist 1 Prism (43.5) - snowisp-stellenbosch,22,101
3878,192.168.43.249,Simonsberg MidGain Paarl Prism (43.249) - snowisp-sim-flat,22,101
3879,192.168.43.7,Simonsberg Stb dist 2 Prism (43.7) - snowisp-stellenbosch2,22,101
3880,10.36.62.253,Distell Horn Prism (10.36.62.253) -  snowisp-distell,22,101
3881,192.168.43.16,snowisp-simons-stellies3 (43.16) Prism,22,101
3882,192.168.43.9,Simonsberg Paarl2 Prism (43.9) - snowisp-sim-dist5,22,101
3883,192.168.43.12,Intratec PtP Prism (43.12) - snowisp-intratec-ptp,22,101
3884,10.36.62.254,Distell Prism (10.36.62.254) - snowisp-distell,22,101
3885,192.168.43.17,snowisp-simons-stellies4 (43.17) Prism,22,101
3886,192.168.36.5,snowisp-simons-74.14deg-4.03tilt (36.5) Prism,22,101
3887,192.168.43.4,Simonsberg Paarl1 Prism (43.4) - snowisp-sim-dist4,22,101
3888,10.36.69.4,snowisp-sbhs-sec2 (10.36.69.4) Prism,22,103
3889,192.168.82.106,82.106 - UVM_MAC,22,117
3890,192.168.80.90,80.90 - UVM ROC AC,22,117
