
Uitsig  HS

Name,Ip,Model,Clients
TFWB_Uitsig,10.100.63.129,CCR1009-8G-1S,51
 TFWB-Uitsig-Sector-5-SW-Louisa,10.100.63.135,Rocket M5 Titanium,
 TFWB-Uitsig-Sec-4-East,10.100.63.134,Rocket M5 Titanium,
 TFWB-Uitsig-Sec2-W,10.100.63.132,Rocket M5 Titanium,
 TFWB-Uitsig-Sec-1-N,10.100.63.131,Rocket M5 Titanium,
 TFWB-Uitsig-Sec-3-S,10.100.63.133,Rocket M5 Titanium,
TFWB-Uitsig-Sec6-S(45),10.100.63.199,,

Temba Mast

Name,Ip,Model,Clients
BW-Temba,10.100.47.129,CCR1009-8G-1S,21
 PowerBeam M5 400,10.100.47.251,0,
 TFWB-Temba-Sec-4,10.100.47.135,Rocket M5 Titanium,
 TFWB-Temba-Sec3-Boxfress,10.100.47.134,Rocket M5 Titanium,
 TFWB-THEMBA-SEC-NE,10.100.47.133,Rocket M5 Titanium,
 TFWB-Temba-Sec2,10.100.47.132,Rocket M5 Titanium,
TEMBA-PM,10.250.4.38,0,

Stinkfinger HS

Name,Ip,Model,Clients
Stinkstevingers PM,10.250.4.86,0,

Sosh HS-002

Name,Ip,Model,Clients
SOSH-002-PM,10.254.44.7,0,

Sosh HS-007

Name,Ip,Model,Clients
SOSH-HS-007-PM,10.123.124.50,0,

Sosh HS-006

Name,Ip,Model,Clients
SOSH-HS-006-PM,10.254.68.9,0,
Sosh6 - Amandasig-AP,10.100.22.34,0,
Sosh6 - Amandasig-Station,10.100.22.35,0,
BW-SOSH006,10.100.47.9,CCR1009-8G-1S,0

Inthundla Lodge

Name,Ip,Model,Clients

Sosh HS-005

Name,Ip,Model,Clients
 TFWB-SOSH5-SEC-W,10.100.84.130,Rocket M5 Titanium,
SOSH-005-PM,10.254.56.7,0,
TFW-Sosh-HS-005,10.123.124.162,CCR1009-8G-1S,

Sosh HS-001

Name,Ip,Model,Clients
TFWB-Sosh-Hs001,10.100.58.129,RB2011iLS,6
 TFWB-Soch007-sec1,10.100.58.131,Rocket M5 Titanium,
SOSH-001-PM,10.254.40.10,0,

Sosh HS-003

Name,Ip,Model,Clients
SOSH-003-PM,10.254.48.6,0,

Rooiwal HS

Name,Ip,Model,Clients

Sosh HS-008

Name,Ip,Model,Clients
SOSH-008-PM,10.254.84.7,0,

Kameelfontein HS

Name,Ip,Model,Clients
BW_Kameeldrif,10.100.30.129,RB2011UiAS,1
 www.bronbergwisp.co.za/Kameel-East,10.100.30.131,Rocket M5 Titanium,
Kameel_PM,10.100.30.135,0,
Moloto - Kammel-AP,10.100.30.10,0,
Kameeldrif to Roodeplaat AP,10.100.67.10,,

Sosh HS-011

Name,Ip,Model,Clients
Sosh-HS-011-PM,10.254.108.12,0,

Sosh HS-009

Name,Ip,Model,Clients
TFW-Sosh-009,10.123.124.153,,

Sosh HS-010

Name,Ip,Model,Clients
SOSH-010-PM,10.254.96.7,0,
TFW Soshunguve HS-010-Library Hotspot,129.205.80.23,RB1100AHx2,

Burkea HS

Name,Ip,Model,Clients

Vibro Rosslyn HS

Name,Ip,Model,Clients
Vibro Roslyn HS,10.100.80.129,RB2011UiAS,4
 BW-VIB-SEC-NE-CLIENTS,10.100.80.133,Rocket M5 Titanium,
 BW-VIB-SEC-S,10.100.80.132,Rocket M5 Titanium,
 BW-VIB-SECT-NW,10.100.80.131,Rocket M5 Titanium,
V-Roslyn_PM,10.100.80.137,0,
BW-BH-AMANDA2-VIBRO,10.100.80.11,,

Refilwe HS

Name,Ip,Model,Clients
TFWB-Rifilwe,10.100.66.129,RB2011UiAS,1
 Rocket M5 Titanium GPS,10.100.66.131,Rocket M5 Titanium,
REFILWE-PM,10.250.0.10,0,

Cullinan HS

Name,Ip,Model,Clients
BW-Cullinan-MK,10.100.98.129,RB2011UiAS,8
 TFWB-Cullinan-Sec1-N,10.100.98.131,Rocket M5 Titanium,
CULLINAN-PM,10.250.22.78,0,
TFWB-Cul-Sec2-E,10.100.98.132,,
Cullinan - Static 1,10.250.22.75,,
Cullinan - Static 2,10.250.22.76,,
Cullinan - PTZ,10.250.22.77,,

Amanda Sig 2

Name,Ip,Model,Clients
Amanda New PM,10.250.29.18,0,

Amanda Sig 1

Name,Ip,Model,Clients
Amandasig PPPOE,10.100.22.129,CCR1009-8G-1S,51
 BW-AMANDA-SEC-NE,10.100.22.133,Rocket M5 Titanium,
 BW-AMANDA-SEC-SW,10.100.22.132,Rocket M5 Titanium,
 BW-AMANDA-SEC-NW,10.100.22.131,Rocket M5 Titanium,
 BW-AMANDA-SEC-SE,10.100.22.134,Rocket M5 Titanium,
AMANDA_PM,10.100.22.139,0,
BW-BH-AMANDA2-VIBRO,10.100.80.10,,
Static Cam,10.100.22.22,,

Wonderboom Nek HS

Name,Ip,Model,Clients
tfwb-WB-Nek,10.100.46.129,RB2011UiAS,37
 TFWB-Wonderboomnek-Sec-N,10.100.46.134,Rocket M5 Titanium,
 TFWB-Wonderboomnek-Sec-S,10.100.46.133,Rocket M5 Titanium,
 TFWB-Wonderboomnek-Sec-NW,10.100.46.131,Rocket M5 Titanium,
 TFWB-Wonderboomnek-Sec-NE,10.100.46.132,Rocket M5 Titanium,
