"Lammers 1 New MK ",10.100.143.129,88,100
"Block 1 Casa Salice",10.100.134.129,58,100
"Stanley Park Block 25",10.100.133.129,2902,99.84
"La Camarque Estate MK - CCR",10.100.130.1,0,100
"Grove Lane Block 10",10.100.127.129,119,99.99
"The Grove Lane Main Uplink",10.100.126.129,59,100
"Grootfontein Bronbergwisp Concentrator",10.100.123.129,0,100
"Plotnet 33 Bronbergwisp Concentrator",10.100.122.129,29229,98.39
"Mhoog Bronbergwisp Concentrator",10.105.20.129,2724,99.85
"Stanley Park Block 9",10.100.119.129,2872,99.84
"Rooihuiskraal Estate Block 5",10.100.117.129,12787,99.29
"Farminn East NEW ",10.100.104.129,0,100
"Luberon MikroTik",10.100.102.129,0,100
"Casa_Salice MK",10.100.99.129,58,100
BW-Cullinan-MK,10.100.98.129,1906,99.89
"BW-Faerie Glen 5",10.100.97.129,0,100
WaterlakeFarm,10.100.96.129,30789,98.3
BW-Strubenkop-HS,10.100.95.129,147,99.99
"BW-Monument Park HS",10.100.94.129,355,99.98
"Laudium BW",10.100.93.129,58,100
BW_Rooihuiskraal,10.100.90.129,12163,99.33
Bronkhorstbaai,10.100.89.129,27941,98.46
"BW-FGL1- 10GB",10.100.88.129,88,100
"Baviaans Poort",10.100.85.129,208,99.99
"BW Brakfontein HS",10.100.83.129,887,99.95
BW-Murrayfield,10.100.81.129,0,100
"Vibro Roslyn HS",10.100.80.129,296,99.98
"BW-Rayton HS",10.100.79.129,33741,98.14
BW-Pretoria-East,10.100.78.129,0,100
"Wilgers 3 Wispsa",10.100.77.129,0,100
BW-Lotus,10.100.76.129,69907,96.14
Bronkhorstpruit,10.100.75.129,27527,98.48
BW-HartiesOrCableView,10.100.74.129,116,99.99
"Farm Inn West",10.100.72.129,652,99.96
"Twin City",10.100.70.129,58,100
Ekandastria,10.100.69.129,1966,99.89
"BW-Intundla HS",10.100.67.129,262,99.99
BW-Rifilwe,10.100.66.129,1910,99.89
Sandvlakte-Mikrotik,10.100.65.129,1908,99.89
"BW Faerie Glen 3",10.100.64.129,0,100
BW-Hercules_East,10.100.62.129,1421,99.92
Faerieglen4New,10.100.61.129,88,100
BW_Montana,10.100.59.129,206,99.99
BW_Amberfield,10.100.57.129,12700,99.3
Kusile1_NEW_HighsiteMTik,10.100.56.129,28351,98.44
"Gomes HS Mikrotik",10.100.55.129,237,99.99
Mnandi,10.100.54.129,2145,99.88
SwavelPoort,10.100.53.129,40435,97.77
Wapadrand,10.100.52.129,0,100
BW_ElardusPark,10.100.51.129,324,99.98
"Vodacom - Techinc",10.100.50.129,6743,99.63
BW-ConstantiaPark-MikroTik,10.100.49.129,325,99.98
BW-Erasmusrand-Mikrotik,10.100.48.129,356,99.98
BW-Temba,10.100.47.129,1284,99.93
BW-WB-Nek,10.100.46.129,8003,99.56
BW-Moreleta-HS,10.100.44.129,0,100
Derdepoort,10.100.43.129,206,99.99
Menlopark,10.100.42.129,0,100
BW_Carina,10.100.40.129,1899,99.9
BW-Heights,10.100.37.129,889,99.95
"BW-Urologies HS",10.100.36.129,5248,99.71
Frhensch-MTik,10.100.35.129,5585,99.69
"BW Wilgers 2",10.100.33.129,0,100
BW-Wilgers-1,10.100.31.129,0,100
"Moloto HS",10.100.29.129,836,99.95
"WRAPSA HS",10.100.28.129,4039,99.78
"MikroTik St. Gorges",10.100.27.129,358,99.98
"Mooikloof 2 HS",10.100.26.129,204,99.99
"Mooikloof 1",10.100.25.129,235,99.99
"MikroTik Olympus Ext.",10.100.24.129,0,100
"Olympus Main",10.100.23.129,1032,99.94
"Amandasig PPPOE",10.100.22.129,238,99.99
"Wonderboom HS",10.100.21.129,58,100
"Vibro Laudium HS",10.100.20.129,178,99.99
BW-Loft-HS,10.100.19.129,57,100
"CBD Mikrotik",10.100.18.129,0,100
Chamboard,10.100.17.129,15853,99.13
BW-Groenkloof-Mikrotik_NEW,10.100.16.129,291,99.98
Rykor,10.100.12.129,837,99.95
ASPEN,10.100.11.129,712,99.96
"Waterkloof HS Polaris (192.168.30.187)",10.100.9.129,205,99.99
"BW Lyttelton HS",10.100.6.129,1782,99.9
"BW-Pieter delport",10.100.5.129,0,100
Lammers4,10.100.4.129,57,100
BW_LAMMERS3,10.100.2.129,323,99.98
lammers2,10.100.1.129,265,99.99
"Amsterdam Block 1",10.100.107.1,263,99.99
"Amsterdam Block 2",10.100.107.17,263,99.99
"Amsterdam Block 4",10.100.107.49,268,99.99
"Amsterdam Block 93",10.100.112.193,86,100
"Amsterdam Block 94",10.100.112.209,86,100
"Amsterdam Block 95",10.100.112.225,88,100
"Amsterdam Main CCR",10.100.105.21,86,100
"Grove Lane Block 7",10.100.126.158,177,99.99
"Grove Lane Block 17",10.100.126.198,120,99.99
"Grove lane block 2",10.100.127.1,58,100
"Grove Lane Block 9",10.100.127.113,119,99.99
"Grove Lane Block 11",10.100.127.145,119,99.99
"Grove Lane Block 12",10.100.127.161,120,99.99
"Grove Lane Block 13",10.100.127.177,120,99.99
"Grove Lane Block 14",10.100.127.193,119,99.99
"Grove Lane Block 15",10.100.127.209,120,99.99
"Grove Lane Block 16",10.100.127.225,120,99.99
"Grove Lane Block 8",10.100.127.97,118,99.99
"Stanley Park Block 13",10.100.118.50,2840,99.84
"Stanley Park Block 1",10.100.119.1,2878,99.84
"Stanley Park Block 8",10.100.119.113,2873,99.84
"Stanley Park Block 10",10.100.119.145,2829,99.84
"Stanley Park Block 11",10.100.119.161,2841,99.84
"Stanley Park Block 2",10.100.119.17,2803,99.85
"Stanley Park Block 12",10.100.119.177,2885,99.84
"Stanley Park Block 14",10.100.119.209,2835,99.84
"Stanley Park Block 15",10.100.119.225,2938,99.84
"Stanley Park Block 16",10.100.119.241,2834,99.84
"Stanley Park Block 3",10.100.119.33,2941,99.84
"Stanley Park Block 5",10.100.118.18,2852,99.84
"Stanley Park Block 6",10.100.119.81,2876,99.84
"Stanley Park Block 7",10.100.119.97,2815,99.84
"Stanley Park Block 17",10.100.133.1,2866,99.84
"Stanley Park Block 24",10.100.133.113,2816,99.84
"Stanley Park Block 26",10.100.133.145,2915,99.84
"Stanley Park Block 27",10.100.133.161,2845,99.84
"Stanley Park Block 18",10.100.133.17,2860,99.84
"Stanley Park Block 28",10.100.133.177,2900,99.84
"Stanley Park Block 29",10.100.133.193,2915,99.84
"Stanley Park Block 31",10.100.118.122,2838,99.84
"Stanley Park Block 19",10.100.133.33,2798,99.85
"Stanley Park Block 20",10.100.118.78,2812,99.84
"Stanley Park Block 21",10.100.133.65,2932,99.84
"Stanley Park Block 22",10.100.133.81,2846,99.84
"Stanley Park Block 23",10.100.133.97,2836,99.84
"Stanley ParkTOP DC MT link to Easyweb",10.10.100.2,2877,99.84
"Balboa Block 8",10.100.137.38,45317,97.5
"Balboa Block 1",10.100.137.10,45350,97.5
ClubhouseHotspot,10.100.137.254,45345,97.5
"Balboa Block 5",10.10.104.145,45349,97.5
"Balboa Block 9",10.10.104.17,45316,97.5
"Balboa Block 4",10.10.104.65,45321,97.5
"Stanley Park Block 4",10.100.118.14,2935,99.84
"Balboa Block 2",10.100.137.14,45321,97.5
"Balboa Block 3",10.100.137.18,45319,97.5
"Balboa Block 6",10.100.137.30,45321,97.5
"Balboa Block 7",10.100.137.34,45322,97.5
"Balboa Block 10",10.100.137.46,45347,97.5
"Balboa Block 11",10.100.137.50,45313,97.5
