"Magalieskruin HS",99.91,8.07
"Lammers 1",99.98,2.05
"Casa Salice",99.98,2
StanleyPark,98.27,157.24
"La Camarque",99.93,7
"Grove Lane",99.98,2.33
"Grootnet Wipronet ",99.95,4.78
"Plotnet 33 Wipronet",99.86,12.39
"Watertoring Wipronet",99.96,4.06
"MHoog Wipronet",99.88,10.48
"Rooihuiskraal Estate",99.49,46
"Farm Inn East HS",99.91,8.16
"Luberon HS",99.88,10.71
"Cullinan HS",99.05,86.57
"Faerie Glen 5",99.92,7.79
"Waterlake Farm",99.97,3.4
Strubenkop,99.9,9.09
"Monument Park",99.11,81.33
"Laudium HS",99.45,50
Maxis,99.55,40.67
"Rooihuiskraal HS",95.3,427.25
Bronkhorstbaai,99.12,80.5
"Faerie Glen 1",99.62,34.23
SaartjiesNek,99.75,22.83
Baviaanspoort,99.49,47
"Brakfontein HS",99.51,43.88
"Murrayfield HS",99.85,13.56
"Vibro Rosslyn HS",99.42,52.43
"Rayton HS",97.68,210.75
"Pretoria Oos Hospitaal",99.98,2
"Wilgers 3 HS",99.57,39.09
"Lotus Gardens HS",99.51,44.5
"Bronkhorstspruit HS",98.91,99
"Cable View HS",99.08,83.57
"Farm Inn West HS",99.93,6.33
"Twin City",99.83,15.43
"Ekandastria HS",99.09,82.86
"Roodeplaat Intundla",99.59,37.43
"Refilwe HS",99.48,47.33
"Vibro Sandvlakte",99.94,5.67
"Faerie Glen 3",99.98,2.29
"Uitsig  HS",99.25,68.36
"Hercules East HS",98.71,117.5
"Faerie Glen 4",99.97,3.27
"Montana HS",98.97,93.08
"Sosh HS-007",98.02,180
"Amberfield HS",99.16,76.27
Kusile,99.19,73.6
"Gomes HS",99.81,17.75
"Mnandi HS",99.02,88.86
Swavelpoort,99.46,49.29
"Wapadrand HS",99.92,7.3
"Elardus Park HS",99.97,3.25
Vodacom,99.56,40.25
"Constantia Park HS",99.48,47.56
"Erasmusrand HS",99.41,53.56
"Temba Mast",99.72,25.57
"Wonderboom Nek HS",99.67,26.88
"Moreleta HS",99.3,64
"DerdePoort Waverley",99.65,31.43
"MenloPark / Lynwood",99.88,11.28
"Carina HS",99.42,51.56
"Heights HS",97.4,236.5
"Urologies HS",99.94,6
"French Street HS",99.97,3.14
"Wilgers 2 HS",99.97,3.33
"Trophy Medal Botique",99.88,10.86
"Wilgers 1 HS",99.98,2.3
"Kameelfontein HS",98.05,177.8
"Moloto HS",99.95,5
"Wrapsa HS",99.79,19
"St Georges HS",99.94,5.86
"Mooikloof 2",99.69,28.29
"Mooikloof 1",99.88,11.33
"Olympus EXT HS1",99.59,37.43
"Olympus Main HS",99.96,3.88
"Amanda Sig 1",99.5,45.45
"Wonderboom HS",99.92,7.11
"Vibro Laudium HS",99.81,17.33
"Loft Apartments HS",99.82,15.75
"CBD HS",99.68,29.19
"Chamboard HS",99.98,1.64
"GroenKloof KlapperKop",99.58,38.25
"Tulip HS",99.47,48.43
"Rykor HS",98.66,122.11
"Aspin HS",99.34,60
"Polaris HS",99.51,45
"Lyttelton HS",99.48,47.57
"Pieter Delport Meintjieskop",99.77,20.69
"Lammers 4",99.98,2.37
"Faerie Glen 2 (Koedoesnek)",99.89,10.7
"Lammers 3",99.95,4.54
"Lammers 2",99.94,5.3
Amsterdam,95.72,123.15
Balboa,98.37,147.56
Greenstone,99.65,32.1
Unknown,99.89,9.75
Bronbergcastle,99.71,25.68
"Witpoort Wipronet",99.96,3.8
"Laeveld HS",99.57,39.2
"Esteq Wipronet",99.98,1.8
"King's highway Wipronet ",99.97,3
"Edelweis Wipronet",99.88,10.67
"NG Kerk Wipronet",99.89,9.75
"Roodeplaat Wipronet",99.86,13
"Plotnet 51 (Riaan Tailor) Wipronet",99.97,3.17
"Morelleta Wipronet ",99.97,2.67
"Hoek Wipronet ",99.89,9.93
"Sosh HS-005",98.96,95
"Sosh HS-001",97.71,208.5
"Ben Goosen Wipronet",99.46,48.67
"Kitty Hawk Wipronet",99.82,17.17
"Salo de Swart (R 21) Wipronet",99.99,1
"Alpha Sand Wipronet",99.79,18
"Sosh HS-006",99.55,41
"Stinkfinger HS",99.64,33
Babelegi,97.78,202
"Amanda Sig 2",98.87,103
"Muniforum ",97.56,222
"Sosh HS-002",98.41,145
"Sosh HS-003",98.43,143
"ATTR HS-002",84.57,1403
"ATTR HS-001",99.04,87
"Mamelodi CC",98.31,154
"Mame HS-001",98.13,170
"Church Square",99.52,43.33
"Sosh HS-010",99.7,28
"Sosh HS-008",98.05,177
"Sosh HS-011",96.98,274.33
"MOUNTAIN VIEW HS",99.72,25.61
"Boardwalk Heights",99.97,3
"Gerhard Straat",99.48,47.11
"Janelda Wipronet ",99.98,2.17
"Lombardy Estate",99.9,9.5
"Little Eden Wipronet",99.99,1.25
"Burnett HS",99.98,2.5
"Bapsfontein Wipronet",99.98,1.63
"Alexandria Mall",91.16,804
"Bronkhorspruit Silos Wipronet ",99.42,53
"Rhenosterkop Wipronet ",98.22,162.22
"Hebsiba Wipronet ",98.91,99.2
"Schanskop Wipronet ",98.91,99
"Wapadrand Wipronet ",99.94,5.6
"Waverly Wipronet ",99.95,4.38
"Klapperkop HS",99.56,40
"Waverley HS",97.57,221
Harties,98.96,95
Teraco,99.51,44.75
"Sosh CC",98.13,170
"Lemon Tree Estate",99.88,11.4
"LGR Wipronet ",99.86,13
LandRover,99.14,78
"GreenSands Wipronet",99.87,12
"Delmas (Schoeman) Silos Wipronet",99.96,4.25
"Johan Claasens Wipronet",99.92,7
"Zwavelsnest Wipronet",99.44,51.5
"Van Wyk Silos",99.78,20
"Grand Central",99.5,45.8
"Mooikloof Country Club",96.6,309
Vlakfontein,95.13,443
Kannemeyer,97.74,205.67
"Mame HS-004",98.87,103
"Bultfontein HS",99.62,35
"Hoewe HS",99.88,10.67
"Country Mushroom",99.93,6.14
"Bastille Estate",99.77,21.5
"Sontonga Mall",96.08,233.75
"Heartfelt Arena",99.36,58
"Hannes House",97.95,186
"Olympus Wipronet (Danie de Swart)",99.96,3.67
"Equestria River Estate",99.96,2.25
"Windgate HS",99.65,19.25
